accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
0.69,1.15,-9.85,-0.0625,-0.25,-0.0625,270.3125,4.375,-173.4375,-1
0.71,1.16,-9.73,-0.0625,0.1875,0,270.3125,4.375,-173.4375,-1
0.67,1.11,-9.78,0.25,-0.125,0,270.3125,4.375,-173.4375,-1
0.68,1.13,-9.86,-0.1875,-0.0625,-0.0625,270.3125,4.375,-173.4375,-1
0.67,1.13,-9.75,0,0.125,-0.125,270.3125,4.375,-173.4375,-1
0.68,1.17,-9.79,-0.125,-0.125,-0.0625,270.3125,4.375,-173.4375,-1
0.67,1.16,-9.81,0.1875,-0.0625,0.0625,270.3125,4.375,-173.4375,-1
0.69,1.12,-9.79,0,0.125,0.0625,270.3125,4.375,-173.4375,-1
0.69,1.13,-9.75,-0.0625,-0.0625,0.0625,270.3125,4.375,-173.4375,-1
0.67,1.12,-9.8,-0.125,0,0,270.3125,4.375,-173.4375,-1
0.68,1.14,-9.73,-0.125,0,-0.0625,270.3125,4.375,-173.4375,-1
0.68,1.11,-9.76,0,0.0625,0,270.3125,4.375,-173.4375,-1
0.67,1.14,-9.81,0.0625,0,-0.0625,270.3125,4.375,-173.4375,-1
0.69,1.13,-9.85,0,-0.0625,0,270.3125,4.375,-173.4375,-1
0.68,1.15,-9.74,-0.1875,0.0625,0,270.3125,4.375,-173.4375,-1
0.68,1.13,-9.77,0.0625,-0.0625,-0.125,270.3125,4.375,-173.4375,-1
0.67,1.12,-9.85,0,0,0,270.3125,4.375,-173.4375,-1
0.68,1.13,-9.75,0,-0.125,-0.0625,270.3125,4.375,-173.4375,-1
0.7,1.14,-9.79,0.0625,0.125,-0.125,270.3125,4.375,-173.4375,-1
0.67,1.14,-9.82,-0.125,0,0.1875,270.3125,4.375,-173.4375,-1
0.68,1.13,-9.75,0.25,0.0625,-0.0625,270.3125,4.375,-173.4375,-1
0.69,1.12,-9.77,-0.1875,-0.0625,-0.0625,270.3125,4.375,-173.4375,-1
0.68,1.14,-9.88,0,0.0625,-0.0625,270.3125,4.375,-173.4375,-1
0.69,1.14,-9.78,0,-0.125,0.0625,270.3125,4.375,-173.4375,-1
0.69,1.09,-9.79,-0.0625,0.25,0.0625,270.3125,4.375,-173.4375,-1
0.7,1.13,-9.82,-0.25,0.3125,0.0625,270.3125,4.375,-173.4375,-1
0.71,1.12,-9.74,-0.375,0.3125,0,270.3125,4.4375,-173.4375,-1
0.95,1.13,-9.82,-5.75,5.4375,0,270.375,5.8125,-173,-1
0.82,1.01,-10.03,-0.0625,1.4375,-2.375,270.3125,5,-173.25,-1
0.61,1.25,-10,11.8125,-10.75,6.0625,269.5625,4.25,-171.9375,0
1.05,1.03,-9.36,-1.3125,0.4375,-0.4375,270.5,6.5,-173.125,0
1.19,1.17,-9.29,4.0625,-8.25,0.25,270.5625,6.375,-172.9375,0
0.88,1.02,-9.51,-0.6875,-1.1875,-0.3125,270.375,4.5625,-173.125,0
0.9,1.08,-9.48,-0.3125,-0.0625,0.0625,270.375,4.5625,-173.25,0
0.86,1.04,-9.55,0.0625,-0.0625,0.125,270.375,4.5625,-173.25,0
0.87,1.04,-9.47,0.4375,-0.1875,0.0625,270.375,4.5625,-173.25,0
0.86,1.06,-9.53,-0.1875,0,-0.125,270.375,4.5625,-173.25,0
0.88,1.06,-9.6,0.1875,0.0625,0.0625,270.375,4.5625,-173.25,0
0.88,1.08,-9.49,-0.125,0,-0.0625,270.375,4.5625,-173.25,0
0.85,1.04,-9.5,0.0625,-0.0625,0,270.375,4.5625,-173.25,0
0.86,1.05,-9.61,0,-0.1875,0,270.375,4.5625,-173.25,0
0.86,1.05,-9.48,0,0.0625,0,270.375,4.5625,-173.25,0
0.86,1.06,-9.52,0.125,0.125,-0.125,270.375,4.5625,-173.25,0
0.85,1.04,-9.6,-0.0625,-0.125,0,270.375,4.5625,-173.25,0
0.85,1.07,-9.47,0.125,-0.1875,0.0625,270.375,4.5625,-173.25,0
0.85,1.06,-9.53,-0.125,-0.0625,-0.0625,270.375,4.5625,-173.25,0
0.85,1.05,-9.61,-0.0625,-0.0625,-0.0625,270.375,4.5625,-173.25,0
0.84,1.07,-9.55,0.1875,0,0.125,270.375,4.5625,-173.25,0
0.84,1.05,-9.53,0,-0.0625,0,270.375,4.5625,-173.25,0
0.87,1.04,-9.62,0,0,0,270.375,4.5625,-173.25,0
0.87,1.06,-9.5,0.1875,0.0625,-0.0625,270.375,4.5625,-173.25,0
0.85,1.05,-9.5,0.125,-0.0625,0,270.375,4.5625,-173.25,0
0.84,1.05,-9.59,-0.0625,0,-0.0625,270.375,4.5625,-173.25,0
0.86,1.05,-9.52,-0.125,0,0.0625,270.375,4.5625,-173.25,0
0.84,1.06,-9.51,-0.125,0,0.0625,270.375,4.5625,-173.25,0
0.84,1.06,-9.62,0.0625,0.125,0,270.375,4.5625,-173.25,0
0.85,1.06,-9.51,0.0625,0.1875,-0.125,270.375,4.5625,-173.25,0
0.85,1.06,-9.52,-0.0625,0,0,270.375,4.5625,-173.25,0
0.86,1.04,-9.6,0,0.0625,0,270.375,4.5625,-173.25,0
0.87,1.06,-9.51,-0.125,0.125,0.0625,270.375,4.5625,-173.25,0
0.86,1.08,-9.53,-0.0625,0,0.0625,270.375,4.5625,-173.25,0
0.87,1.05,-9.65,0.1875,0,-0.125,270.375,4.5625,-173.25,0
0.86,1.05,-9.55,-0.0625,0,0,270.375,4.5625,-173.25,0
0.87,1.03,-9.53,-0.0625,0.0625,-0.0625,270.375,4.5625,-173.25,0
0.86,1.06,-9.64,0,0.125,0.0625,270.375,4.5625,-173.25,0
0.87,1.08,-9.5,0.0625,0.0625,-0.0625,270.375,4.5625,-173.25,0
0.86,1.06,-9.51,0,0,0.0625,270.375,4.5625,-173.25,0
0.89,1.06,-9.6,0,0.0625,-0.0625,270.375,4.5625,-173.25,0
0.87,1.05,-9.5,-0.3125,0.125,0.0625,270.375,4.5625,-173.25,0
0.84,1.08,-9.54,0,-0.125,-0.125,270.375,4.5625,-173.25,0
0.85,1.08,-9.59,-0.125,0,-0.0625,270.375,4.5625,-173.25,0
0.85,1.06,-9.56,0,-0.125,-0.0625,270.375,4.5625,-173.25,0
0.86,1.06,-9.52,-0.0625,0,0.125,270.375,4.5625,-173.25,0
0.85,1.06,-9.59,-0.0625,-0.125,-0.0625,270.375,4.5625,-173.25,0
0.85,1.06,-9.5,0.25,-0.125,0.0625,270.375,4.5625,-173.25,0
0.86,1.05,-9.51,0.0625,0,-0.125,270.375,4.5625,-173.25,0
1.03,1.04,-9.6,-1.3125,3.6875,0.375,270.5625,5.625,-173.375,0
1.33,1.05,-9.59,2.4375,-0.375,0.125,270.5625,6.5625,-173.4375,0
1.28,1.07,-9.57,-0.625,0.5,-0.0625,270.4375,6.9375,-173.5625,0
1.24,0.38,-9.52,-7,3.125,-2.375,270.875,7.3125,-174.1875,1
0.88,0.27,-8.07,1.5,3.25,0.25,270.6875,6.6875,-173.8125,1
0.78,0.68,-9.43,2.875,-6.875,-1.0625,271.4375,5.9375,-174.8125,1
0.89,0.84,-9.62,-0.3125,1.625,0.625,271.1875,4.875,-174.625,1
1.01,0.82,-9.46,-1.1875,-1.375,-0.25,271.25,5.875,-174.8125,1
0.99,0.8,-9.56,0.125,0,-0.125,271.25,5.8125,-174.75,1
1.03,0.85,-9.64,-0.125,0,0.0625,271.25,5.8125,-174.75,1
1.01,0.85,-9.52,-0.1875,-0.0625,0.125,271.25,5.8125,-174.75,1
1.04,0.86,-9.51,-0.0625,0.125,0.0625,271.25,5.8125,-174.75,1
1.04,0.84,-9.6,0.125,0.0625,0,271.25,5.8125,-174.75,1
1.01,0.84,-9.51,-0.0625,-0.25,-0.1875,271.25,5.8125,-174.75,1
1.02,0.81,-9.5,0.1875,-0.125,0.1875,271.25,5.8125,-174.75,1
1.02,0.8,-9.61,-0.0625,-0.1875,0.1875,271.25,5.8125,-174.75,1
1,0.82,-9.58,0,-0.125,0,271.25,5.8125,-174.75,1
1.04,0.83,-9.53,0.125,-0.125,0,271.25,5.8125,-174.75,1
0.99,0.83,-9.57,-0.0625,0,0.0625,271.25,5.8125,-174.75,1
1.01,0.85,-9.49,0,0.0625,0.0625,271.25,5.8125,-174.75,1
1.01,0.85,-9.52,-0.125,0.0625,0.125,271.25,5.8125,-174.75,1
1.01,0.85,-9.63,-0.0625,0,-0.0625,271.25,5.8125,-174.75,1
1.03,0.84,-9.55,0.125,0.0625,0.0625,271.25,5.8125,-174.75,1
1.01,0.82,-9.53,-0.125,0.125,0,271.25,5.8125,-174.75,1
1,0.82,-9.63,-0.0625,0,-0.0625,271.25,5.8125,-174.75,1
1.02,0.83,-9.52,0.0625,-0.1875,-0.0625,271.25,5.8125,-174.75,1
1.01,0.84,-9.48,0.0625,0.125,0,271.25,5.8125,-174.75,1
1.02,0.83,-9.6,-0.125,0.0625,0.0625,271.25,5.8125,-174.75,1
1.02,0.84,-9.5,-0.125,0.0625,0,271.25,5.8125,-174.75,1
1.02,0.85,-9.55,0.125,0,0,271.25,5.8125,-174.75,1
1.01,0.81,-9.62,-0.0625,0,0.125,271.25,5.8125,-174.75,1
1.01,0.83,-9.52,0.1875,0.0625,0,271.25,5.8125,-174.75,1
1.01,0.84,-9.54,-0.0625,-0.125,0.0625,271.25,5.8125,-174.75,1
1.01,0.86,-9.62,0.0625,-0.125,0,271.25,5.8125,-174.75,1
1.03,0.85,-9.52,0,0,0,271.25,5.8125,-174.75,1
1.01,0.83,-9.6,0,0.0625,-0.1875,271.25,5.8125,-174.75,1
1.03,0.84,-9.61,-0.125,-0.0625,0.125,271.25,5.8125,-174.75,1
1.02,0.84,-9.5,-0.125,-0.125,0.0625,271.25,5.8125,-174.75,1
1.03,0.83,-9.52,-0.125,-0.0625,-0.0625,271.25,5.8125,-174.75,1
1,0.84,-9.61,0,-0.0625,0,271.25,5.8125,-174.75,1
1.03,0.85,-9.49,0,-0.0625,-0.125,271.25,5.8125,-174.75,1
1.02,0.82,-9.52,-0.0625,0,0.0625,271.25,5.8125,-174.75,1
1.01,0.83,-9.59,0,0.125,-0.0625,271.25,5.8125,-174.75,1
1.01,0.83,-9.51,-0.0625,0,0.125,271.25,5.8125,-174.75,1
1.03,0.85,-9.55,-0.125,0.0625,0,271.25,5.8125,-174.75,1
1.05,0.85,-9.59,0.125,-0.9375,0.1875,271.25,5.75,-174.75,1
0.8,0.88,-9.53,-0.375,-2,-0.375,271.3125,4.5,-174.75,1
1,1.15,-9.47,-0.125,1.4375,-0.1875,271.25,5.875,-173.25,1
0.61,2.28,-9.68,-0.5,-5.3125,-1.6875,270.875,2.625,-173.9375,1
1.09,1.07,-9.38,15.3125,0.75,-0.0625,270.9375,6.0625,-172.8125,0
0.5,0.35,-8.79,2.5625,0.625,0.625,271.125,4.3125,-175.5,0
0.63,0.98,-9.6,-0.25,-0.625,-0.5625,270.875,3.875,-174.1875,0
0.61,0.97,-9.58,0.8125,-0.0625,-0.125,270.875,3.875,-174.1875,0
0.57,0.98,-9.58,-0.1875,0.0625,-0.0625,270.875,3.8125,-174.1875,0
0.57,0.95,-9.55,0.25,0.1875,0.0625,270.875,3.8125,-174.1875,0
0.6,1,-9.64,0.1875,0,-0.125,270.875,3.8125,-174.1875,0
0.6,0.97,-9.54,0,-0.125,-0.125,270.875,3.8125,-174.1875,0
0.57,0.94,-9.61,0.1875,-0.0625,0.125,270.875,3.8125,-174.1875,0
0.57,0.95,-9.66,-0.25,0,0.0625,270.875,3.8125,-174.1875,0
0.56,0.99,-9.53,-0.125,-0.0625,0.0625,270.875,3.8125,-174.1875,0
0.56,0.99,-9.54,-0.0625,0,-0.0625,270.875,3.8125,-174.1875,0
0.54,1,-9.64,0.25,-0.1875,0,270.875,3.8125,-174.1875,0
0.55,1,-9.55,-0.4375,0.375,-0.0625,270.875,3.8125,-174.1875,0
0.59,0.95,-9.53,-0.1875,0,0.0625,270.875,3.8125,-174.1875,0
0.67,0.99,-9.63,0.0625,-0.5625,-0.0625,270.875,4.25,-174.1875,0
0.62,0.96,-9.56,0.5625,-0.25,0.0625,270.875,4.125,-174.1875,0
0.62,0.98,-9.53,0.125,0,0.0625,270.875,4.125,-174.1875,0
0.63,0.99,-9.64,0.0625,0.1875,0.0625,270.875,4.125,-174.1875,0
0.64,0.99,-9.51,0,0.125,0.125,270.875,4.125,-174.1875,0
0.66,0.99,-9.57,-0.125,-0.0625,-0.0625,270.875,4.125,-174.1875,0
0.66,0.97,-9.62,-0.0625,0.125,-0.0625,270.875,4.125,-174.1875,0
0.63,0.98,-9.51,0,0.0625,0,270.875,4.125,-174.1875,0
0.62,0.97,-9.58,-0.0625,-0.0625,-0.125,270.875,4.125,-174.1875,0
0.61,0.97,-9.61,0.0625,0,-0.0625,270.875,4.125,-174.1875,0
0.64,0.99,-9.56,0.125,0.0625,-0.1875,270.875,4.125,-174.1875,0
0.65,0.97,-9.51,-0.3125,0,-0.125,270.875,4.125,-174.1875,0
0.65,0.99,-9.64,0.125,0.125,0.125,270.875,4.125,-174.1875,0
0.62,0.99,-9.53,0.1875,0,0,270.875,4.125,-174.1875,0
0.63,0.98,-9.6,-0.0625,-0.0625,-0.0625,270.875,4.125,-174.1875,0
0.62,0.98,-9.63,0.125,0.0625,0.1875,270.875,4.125,-174.1875,0
0.64,0.97,-9.55,-0.25,-0.0625,0.1875,270.875,4.125,-174.1875,0
0.61,0.98,-9.54,0.0625,-0.0625,0.0625,270.875,4.125,-174.1875,0
0.61,0.99,-9.63,-0.3125,0,0.125,270.875,4.125,-174.1875,0
0.63,0.98,-9.52,-0.0625,0.125,-0.0625,270.875,4.125,-174.1875,0
0.63,0.99,-9.55,0.1875,0,-0.125,270.875,4.125,-174.1875,0
0.62,1,-9.62,-0.0625,0,0.0625,270.875,4.125,-174.1875,0
0.64,0.99,-9.55,-0.125,-0.125,0,270.875,4.125,-174.1875,0
0.62,0.96,-9.54,-0.1875,-0.125,0,270.875,4.125,-174.1875,0
0.62,0.98,-9.64,0.0625,0.0625,0.0625,270.875,4.125,-174.1875,0
0.62,0.99,-9.52,0.0625,0,0,270.875,4.125,-174.1875,0
0.62,0.99,-9.54,-0.1875,0,0.0625,270.875,4.125,-174.1875,0
0.65,0.97,-9.8,2.25,1.75,0.5,270.875,4.1875,-174.25,0
0.93,0.78,-9.38,1.5625,1,-0.4375,270.9375,6.625,-174.5,0
0.7,1.18,-10.04,12.375,3.375,1,270.75,4.0625,-173.375,0
1.12,1.32,-9.34,0.9375,0.875,-0.4375,271,6.5,-174.125,-1
1.13,1.46,-9.02,-7.25,-12.375,-1.1875,271,6.25,-174.0625,-1
-0.45,1.22,-10.74,0.6875,1.6875,0.8125,270.9375,0.1875,-173.625,-1
0.85,0.73,-9.54,5.5625,0.1875,1.0625,271.0625,6.125,-174.75,-1
0.59,0.92,-9.71,-2,-1.125,-0.5,271.0625,3.6875,-174.875,-1
0.63,0.97,-9.6,-0.625,-0.1875,-0.0625,271.0625,3.625,-174.4375,-1
0.61,0.93,-9.59,-0.1875,0.3125,0.0625,271.0625,3.625,-174.5,-1
0.59,0.92,-9.66,-0.25,-0.25,0,271.0625,3.625,-174.5,-1
0.61,0.94,-9.51,0.0625,0.125,-0.0625,271.0625,3.625,-174.5,-1
0.62,0.94,-9.57,-0.25,0,0,271.0625,3.625,-174.5,-1
0.59,0.92,-9.66,-0.25,0.1875,0,271.0625,3.625,-174.5,-1
0.63,0.9,-9.53,0.25,-0.0625,0.0625,271.0625,3.625,-174.5,-1
0.61,0.9,-9.53,-0.125,-0.3125,-0.0625,271.0625,3.5625,-174.5,-1
0.6,0.91,-9.64,0.0625,0.375,0.1875,271.0625,3.5,-174.5,-1
0.6,0.95,-9.62,0.0625,-0.0625,0,271.0625,3.5625,-174.4375,-1
0.61,0.94,-9.53,0.0625,0,-0.125,271.0625,3.5625,-174.4375,-1
0.6,0.95,-9.6,-0.125,0.0625,0.0625,271.0625,3.5625,-174.4375,-1
0.6,0.94,-9.54,0,0,0.125,271.0625,3.5625,-174.4375,-1
0.6,0.93,-9.53,0,0.25,-0.125,271.0625,3.5625,-174.4375,-1
0.61,0.92,-9.64,-0.125,0,0.0625,271.0625,3.5625,-174.4375,-1
0.59,0.92,-9.51,0.0625,0,0,271.0625,3.5625,-174.4375,-1
0.61,0.93,-9.53,-0.1875,0.1875,0,271.0625,3.5625,-174.4375,-1
0.6,0.93,-9.57,0.1875,0.125,0,271.0625,3.5625,-174.4375,-1
0.62,0.95,-9.56,0.125,0.0625,0,271.0625,3.5625,-174.4375,-1
0.61,0.94,-9.53,0.0625,0.125,-0.0625,271.0625,3.5625,-174.4375,-1
0.6,0.93,-9.61,0,0.0625,0.0625,271.0625,3.5625,-174.4375,-1
0.59,0.93,-9.55,-0.0625,0,0.125,271.0625,3.5625,-174.4375,-1
0.6,0.93,-9.56,0,-0.0625,0.0625,271.0625,3.5625,-174.4375,-1
0.59,0.94,-9.64,0.0625,-0.0625,0.0625,271.0625,3.5625,-174.4375,-1
0.61,0.94,-9.53,0.125,-0.0625,0,271.0625,3.5625,-174.4375,-1
0.59,0.93,-9.52,-0.0625,0,0.0625,271.0625,3.5625,-174.4375,-1
0.61,0.94,-9.61,-0.0625,0,-0.125,271.0625,3.5625,-174.4375,-1
0.61,0.94,-9.53,0.1875,0.125,-0.125,271.0625,3.5625,-174.4375,-1
0.61,0.92,-9.54,0.0625,-0.0625,0,271.0625,3.5625,-174.4375,-1
0.59,0.94,-9.65,0.125,-0.1875,0,271.0625,3.5625,-174.4375,-1
0.59,0.92,-9.58,0.0625,-0.0625,-0.1875,271.0625,3.5625,-174.4375,-1
0.6,0.93,-9.55,-0.25,0.0625,0.1875,271.0625,3.5625,-174.4375,-1
0.59,0.91,-9.6,-0.125,-0.0625,0.125,271.0625,3.5625,-174.4375,-1
0.61,0.94,-9.52,-0.125,0.0625,0,271.0625,3.5625,-174.4375,-1
0.6,0.9,-9.55,0.0625,0.0625,-0.0625,271.0625,3.5625,-174.4375,-1
0.62,0.91,-9.63,-0.0625,0.125,0,271.0625,3.5625,-174.4375,-1
0.6,0.93,-9.56,0,0,0,271.0625,3.5625,-174.4375,-1
0.59,0.93,-9.56,0.0625,-0.0625,-0.0625,271.0625,3.5625,-174.4375,-1
0.62,0.93,-9.62,-0.125,0.0625,0.0625,271.0625,3.5625,-174.4375,-1
0.59,0.92,-9.52,0.25,0,0.0625,271.0625,3.5625,-174.4375,-1
0.61,0.93,-9.5,-0.0625,-0.0625,-0.0625,271.0625,3.5625,-174.4375,-1